Team,Result,Location,Week,Pass Yds,Opp Pass Yds,Rush Yds,Opp Rush Yds,Points per game,Opp Points per game,Sacks,Opp Sacks,Cmp,Opp Cmp,Plays,Opp Plays,3DConv,3DConv Allowed,Yards per Play,Opp Yards per Play,Temperature,Weather,Team2
rav,L,@,12.0,177.25,232.66666666666663,149.16666666666666,75.16666666666667,22.916666666666668,22.916666666666668,2.0,2.9166666666666665,56.44166666666667,62.05,57.083333333333336,56.333333333333336,0.4129065379065379,0.2987507862507861,5.283333333333333,4.974999999999999,76 °F,Overcast,jax
rav,W,,13.0,177.6153846153846,228.92307692307693,145.6153846153846,76.15384615384616,21.923076923076923,21.923076923076923,2.1538461538461537,2.8461538461538463,58.338461538461544,63.22307692307693,58.0,56.0,0.3988959758190527,0.2885904693597,5.194615384615385,4.9946153846153845,43 °F,Clear,den
rav,W,@,14.0,171.64285714285714,231.42857142857144,150.57142857142858,75.35714285714286,21.5,21.5,2.142857142857143,2.7857142857142856,58.79285714285715,63.778571428571425,58.214285714285715,55.785714285714285,0.3923814280957138,0.3036911501197214,5.185714285714285,5.08142857142857,43 °F,Overcast,pit
rav,L,@,15.0,168.6,225.33333333333337,153.73333333333332,79.86666666666666,20.266666666666666,20.266666666666666,2.2,2.8,58.65333333333334,63.813333333333325,58.4,56.333333333333336,0.394000444000444,0.3056672956672955,5.194,5.037333333333333,33 °F,Overcast,cle
rav,W,,16.0,165.25,224.5,155.625,82.0625,20.0625,20.0625,2.0625,2.75,58.29375000000001,63.99375,57.9375,57.0625,0.3902087495837495,0.3088845182595181,5.235625,5.023124999999999,16 °F,Partly Cloudy,atl
rav,L,,17.0,162.58823529411765,220.2941176470588,153.52941176470588,88.88235294117646,19.647058823529413,19.647058823529413,2.0,2.7058823529411766,58.78823529411766,63.5,57.47058823529411,57.8235294117647,0.3917650976474506,0.3274795465971935,5.21,5.022352941176471,60 °F,Clear,pit
rav,L,@,18.0,168.88888888888889,219.27777777777777,151.11111111111111,87.0,19.444444444444443,19.444444444444443,2.111111111111111,2.6666666666666665,57.92222222222223,63.27777777777778,58.44444444444444,58.166666666666664,0.3908337033337033,0.3278047569714235,5.206666666666667,4.966666666666666,37 °F,Overcast,cin
buf,W,@,1.0,292.0,191.0,121.0,52.0,31.0,31.0,2.0,7.0,83.9,70.7,58.0,66.0,0.9,0.4615384615384615,7.12,3.68,91 °F,Partly Cloudy,ram
buf,W,,2.0,302.5,149.0,111.0,66.0,36.0,36.0,1.5,4.5,74.45,60.35,61.5,59.5,0.6423076923076924,0.3974358974358974,6.745,3.605,66 °F,Mostly Cloudy,oti
buf,L,@,3.0,329.0,156.33333333333334,112.33333333333331,57.666666666666664,30.333333333333332,30.333333333333332,2.3333333333333335,3.6666666666666665,71.86666666666667,61.9,71.0,52.666666666666664,0.631908831908832,0.3899572649572649,6.336666666666666,4.216666666666667,88 °F,Humid,mia
buf,W,@,4.0,297.0,150.75,115.5,83.75,28.5,28.5,2.0,3.25,67.10000000000001,63.675,68.75,55.5,0.5648407148407149,0.4078525641025641,6.067499999999999,4.32,57 °F,Light Rain,rav
buf,W,,5.0,324.0,182.6,116.4,77.8,30.4,30.4,1.6,3.2,65.9,64.02000000000001,65.8,58.8,0.562983682983683,0.3929487179487179,6.897999999999999,4.468,53 °F,Partly Cloudy,pit
